Rank,Tier,Page Path,Title,Organic Sessions,Engagement Rate,Avg Eng Time (s),Affiliate Clicks,Conversions,Priority Score,Duplicate?,Recommended Action
69,TITLE/META rewrite — underclicking,/beauty-style/best-ai-image-generator-app-review-glam-ai,8.6,36911,103,0.28,1373,,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
70,TITLE/META rewrite — underclicking,/interviews/actors-presenters/abbey-gelmi-the-sports-reporter-making-her-thirties-all-about-finding-balance,6.4,52222,772,1.48,1316,+68,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
71,TITLE/META rewrite — underclicking,/interviews/actors-presenters/zanna-roberts-rassi-the-fashion-darling-re-energising-the-beauty-game,6.5,37775,206,0.55,1305,+29,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
72,TITLE/META rewrite — underclicking,/interviews/creatives/julia-stone-the-musician-all-about-making-meaning,7.9,36529,175,0.48,1286,+65,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
73,TITLE/META rewrite — underclicking,/who/models/helena-vestergaard-on-modelling-and-mental-health,2.7,33467,166,0.5,1172,,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
74,TITLE/META rewrite — underclicking,/beauty-style/skin-care/the-extreme-beauty-standards-flight-attendants-adhere-to,7,42063,513,1.22,1169,+44,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
75,TITLE/META rewrite — underclicking,/interviews/actors-presenters/grace-kelly-princess-and-actress,4.4,36932,331,0.9,1146,+61,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
76,TITLE/META rewrite — underclicking,/how-to/nails/are-at-home-gel-nail-kits-worth-the-investment,7.4,27069,22,0.08,1060,,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
77,TITLE/META rewrite — underclicking,/beauty-style/beauty-tips/three-of-the-best-wisteria-scents,6.1,40484,566,1.4,1053,+163,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
78,TITLE/META rewrite — underclicking,/beauty-style/hair/the-best-italian-hair-products-and-secrets-you-need-to-know,7.5,49813,982,1.97,1010,+240,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
79,TITLE/META rewrite — underclicking,/interviews/models/megan-blake-irwin-the-aussie-model-living-her-best-la-life,6.8,27195,102,0.38,985,-2,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
80,TITLE/META rewrite — underclicking,/beauty-style/hair/5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,6,44179,849,1.92,918,+6,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
81,TITLE/META rewrite — underclicking,/interviews/creatives/ruby-rose,7.7,22188,14,0.06,873,+4,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
82,TITLE/META rewrite — underclicking,/interviews/actors-presenters/farrah-fawcett-actress,4.9,25326,228,0.9,785,+6,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
83,TITLE/META rewrite — underclicking,/who/models/grace-elizabeth-model,5.4,19848,21,0.11,772,,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
84,TITLE/META rewrite — underclicking,/interviews/actors-presenters/jodi-anasta-actress,9.5,20652,60,0.29,766,+19,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
85,TITLE/META rewrite — underclicking,/beauty-style/hair/cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,4.8,23805,190,0.8,762,-11,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
86,TITLE/META rewrite — underclicking,/sigourneys-edit/sigs-slim-aarons-poolside-birthday-all-the-details,7.6,28878,415,1.44,740,-90,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
87,TITLE/META rewrite — underclicking,/interviews/models/rebecca-harding-model,7.8,24600,272,1.11,712,+79,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
88,TITLE/META rewrite — underclicking,/beauty-style/why-your-tap-water-might-be-ruining-your-skin-and-what-to-do-about-it,6.7,19736,81,0.41,708,-18,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
89,TITLE/META rewrite — underclicking,/who/influencers/princess-diana,4.5,21408,167,0.78,689,,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
90,TITLE/META rewrite — underclicking,/destination/beauty-wellness/clinics/the-parlour-room,7,17501,26,0.15,674,-7,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
91,TITLE/META rewrite — underclicking,/interviews/founders/lindy-klim-designer-entrepreneur,6.9,18753,77,0.41,673,,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
92,TITLE/META rewrite — underclicking,/beauty-style/skin-care/filorga-the-cult-french-pharmacy-brand-making-waves,5.1,18111,138,0.76,586,-28,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
93,TITLE/META rewrite — underclicking,/interviews/tastemakers/how-fashionista-rozalia-russian-learned-to-be-gentler-with-herself,7.5,17722,127,0.72,581,+21,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
94,TITLE/META rewrite — underclicking,/ask/q-how-can-i-keep-powders-ruining-my-flawless-foundation,7.6,17986,139,0.77,580,+11,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
95,TITLE/META rewrite — underclicking,/beauty-style/beauty-tips/cheek-blush-tattoo,5.1,25131,455,1.81,550,-2,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
96,TITLE/META rewrite — underclicking,/interviews/models/abigail-oneill-model-and-author,4.9,16228,145,0.89,504,+36,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
97,TITLE/META rewrite — underclicking,/interviews/founders/olivia-chantecaille-born-into-beauty-now-saving-the-world,7.6,22343,390,1.75,503,+14,"Good position but few clicks. Rewrite title tag + meta description to be more compelling. Low effort, fast win."
98,Page-1 edge — light refresh,/interviews/creatives/darren-palmer-interiors-designer-and-olivier-duvillard,6,66015,2067,3.13,,+5,Sits pos 5-10. Minor content/title tweak can lift into top results.
99,Page-1 edge — light refresh,/beauty-style/beauty-tips/i-got-an-under-eye-concealer-tattoo,7.1,53344,1307,2.45,,+344,Sits pos 5-10. Minor content/title tweak can lift into top results.
100,Page-1 edge — light refresh,/interviews/tastemakers/riley-minford-the-trans-model-owning-her-beauty,6,30102,1668,5.54,,-156,Sits pos 5-10. Minor content/title tweak can lift into top results.
101,Page-1 edge — light refresh,/who/creatives/darren-palmer-interiors-designer-and-olivier-duvillard,5.7,24705,996,4.03,,,Sits pos 5-10. Minor content/title tweak can lift into top results.
102,Page-1 edge — light refresh,/interviews/tastemakers/rozalia-russian-influencer,6.7,22539,468,2.08,,+30,Sits pos 5-10. Minor content/title tweak can lift into top results.
103,Page-1 edge — light refresh,/wellness/fitness/how-i-stay-fit-with-rebecca-judd,6.9,14638,211,1.44,,-13,Sits pos 5-10. Minor content/title tweak can lift into top results.
104,Page-1 edge — light refresh,/living/lifestyle/selfie-lighting-tricks,7,14563,23,0.16,,-1,Sits pos 5-10. Minor content/title tweak can lift into top results.
105,Page-1 edge — light refresh,/interviews/tastemakers/maria-thattil-miss-universe-australia-on-the-importance-of-representation-and-great-mascara,7.1,14195,44,0.31,,+10,Sits pos 5-10. Minor content/title tweak can lift into top results.
106,Page-1 edge — light refresh,/interviews/creatives/ruby-hammer-the-celebrity-makeup-artist-shares-the-hard-won-life-and-beauty-lessons-she-has-learned-in-her-50s,8.6,14159,45,0.32,,+1,Sits pos 5-10. Minor content/title tweak can lift into top results.
107,Page-1 edge — light refresh,/interviews/actors-presenters/anna-bamford-actor,5.2,13608,28,0.21,,+7,Sits pos 5-10. Minor content/title tweak can lift into top results.
108,Page-1 edge — light refresh,/interviews/founders/deborah-symond-fashion-buyer-and-entrepreneur,5.6,13471,161,1.2,,+21,Sits pos 5-10. Minor content/title tweak can lift into top results.
109,Page-1 edge — light refresh,/interviews/models/rebecca-burrow-entrepreneur-and-model,7.2,12967,379,2.92,,-218,Sits pos 5-10. Minor content/title tweak can lift into top results.
110,Page-1 edge — light refresh,/interviews/actors-presenters/isabella-giovinazzo-actress,8.8,12906,18,0.14,,-6,Sits pos 5-10. Minor content/title tweak can lift into top results.
111,Page-1 edge — light refresh,/who/entrepreneurs/terry-de-gunzberg,6.6,12655,33,0.26,,,Sits pos 5-10. Minor content/title tweak can lift into top results.
112,Page-1 edge — light refresh,/interviews/models/monika-radulovic-model,8.1,12436,25,0.2,,+7,Sits pos 5-10. Minor content/title tweak can lift into top results.
113,Page-1 edge — light refresh,/beauty-style/hair/kristin-ess-hair-double-conditioning,5.7,12150,101,0.83,,-21,Sits pos 5-10. Minor content/title tweak can lift into top results.
114,Page-1 edge — light refresh,/interviews/founders/the-glamorous-cosmetic-injector-youll-want-to-fly-to-perth-to-see,7.8,11442,225,1.97,,-23,Sits pos 5-10. Minor content/title tweak can lift into top results.
115,Page-1 edge — light refresh,/beauty-style/beauty-tips/5-french-hair-secrets-for-effortlessly-cool-hair,7.3,11359,162,1.43,,-43,Sits pos 5-10. Minor content/title tweak can lift into top results.
116,Page-1 edge — light refresh,/interviews/actors-presenters/guy-sebastian-on-his-fame-family-and-his-new-fragrance,9.2,10958,40,0.37,,+0,Sits pos 5-10. Minor content/title tweak can lift into top results.
117,Page-1 edge — light refresh,/interviews/founders/terry-de-gunzberg,7,10720,18,0.17,,-2,Sits pos 5-10. Minor content/title tweak can lift into top results.
118,Page-1 edge — light refresh,/beauty-style/beauty-tips/hypochlorous-acid-why-this-dermal-mist-has-gone-viral,7.3,10384,68,0.65,,-12,Sits pos 5-10. Minor content/title tweak can lift into top results.
119,Page-1 edge — light refresh,/who/actors-presenters/grace-kelly-princess-and-actress,6.3,10102,89,0.88,,,Sits pos 5-10. Minor content/title tweak can lift into top results.
120,Page-1 edge — light refresh,/interviews/creatives/who-sarah-jagger-make-up-artist,6.5,10009,452,4.52,,-21,Sits pos 5-10. Minor content/title tweak can lift into top results.

Money Pages Score — what it measures,,,,
Weighting,Affiliate clicks 50% + Conversions 15% + Organic traffic 20% + Engagement 15%,,,
Purpose,"Ranks pages by REVENUE value, not traffic volume. A 1,200-visit page can outrank a 3,500-visit page if it drives more affiliate clicks.",,,
Newsletter signups,NOT yet included — only 17 pages had any tracked key event all year. Tracking must be implemented first; column is a placeholder.,,,
,,,,
Affiliate Revenue Categories (by total affiliate clicks),,,,
High,150+ affiliate clicks/year,,,
Medium,50–149 affiliate clicks/year,,,
Low,10–49 affiliate clicks/year,,,
Minimal,under 10,,,
,,,,
Traffic Categories (organic sessions/year),,,,
High,"2,000+",,,
Medium,"800–1,999",,,
Low,200–799,,,
Minimal,under 200,,,
,,,,
Affiliate Clicks / 1k Sessions,"""Efficiency"" — how hard each page works per visitor. High efficiency + low traffic = a page punching above its weight, ideal shop candidate.",,,
,,,,
Key cross-finding,"/sacred60shop is the #1 Money Page (911 clicks) but gets almost no search traffic, so it never appears on the traffic-recovery list. Different lists, different jobs — recovery list = what to migrate first; Money list = what to monetize hardest.",,,

Slug,Keep (Canonical) URL,Canonical Sessions,Duplicate URL to Redirect,Dup Sessions,Combined Sessions
ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,/beauty-style/hair/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,3516,/how-to/hairstyles/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,2080,5596
darren-palmer-interiors-designer-and-olivier-duvillard,/interviews/creatives/darren-palmer-interiors-designer-and-olivier-duvillard,3577,/who/creatives/darren-palmer-interiors-designer-and-olivier-duvillard,954,4531
i-tried-a-new-diy-microstamping-device-heres-what-i-thought,/beauty-style/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,3027,/how-to/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,919,3946
ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,/beauty-style/hair/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,3516,/beauty-style/hairs/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,176,3692
ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,/beauty-style/hair/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,3516,/beauty-style/hairstyles/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,166,3682
i-tried-a-new-diy-microstamping-device-heres-what-i-thought,/beauty-style/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,3027,/sigourneys-edit/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,484,3511
riley-minford-the-trans-model-owning-her-beauty,/interviews/tastemakers/riley-minford-the-trans-model-owning-her-beauty,2509,/who/influencers/riley-minford-the-trans-model-owning-her-beauty,705,3214
stella-kim,/interviews/tastemakers/stella-kim,2408,/who/influencers/stella-kim,612,3020
best-hair-tools-for-fine-hair,/beauty-style/hair/best-hair-tools-for-fine-hair,1952,/how-to/best-hair-tools-for-fine-hair,606,2558
best-hair-tools-for-fine-hair,/beauty-style/hair/best-hair-tools-for-fine-hair,1952,/beauty-style/best-hair-tools-for-fine-hair,420,2372
the-best-italian-hair-products-and-secrets-you-need-to-know,/beauty-style/hair/the-best-italian-hair-products-and-secrets-you-need-to-know,1642,/how-to/hairstyles/the-best-italian-hair-products-and-secrets-you-need-to-know,684,2326
best-hair-tools-for-fine-hair,/beauty-style/hair/best-hair-tools-for-fine-hair,1952,/beauty-style/hairs/best-hair-tools-for-fine-hair,62,2014
best-ai-image-generator-app-review-glam-ai,/living/lifestyle/best-ai-image-generator-app-review-glam-ai,1463,/how-to/best-ai-image-generator-app-review-glam-ai,543,2006
best-hair-tools-for-fine-hair,/beauty-style/hair/best-hair-tools-for-fine-hair,1952,/beauty-style/hairstyles/best-hair-tools-for-fine-hair,47,1999
luxury-skincare-review,/reviews/luxury-skincare-review,1924,/beauty-style/beauty-tips/luxury-skincare-review,32,1956
best-ai-image-generator-app-review-glam-ai,/living/lifestyle/best-ai-image-generator-app-review-glam-ai,1463,/beauty-style/best-ai-image-generator-app-review-glam-ai,459,1922
i-got-an-under-eye-concealer-tattoo,/beauty-style/beauty-tips/i-got-an-under-eye-concealer-tattoo,1870,/how-to/beauty-tips/i-got-an-under-eye-concealer-tattoo,29,1899
nathalie-kelley-the-actress-finding-her-purpose-outside-of-hollywood,/interviews/actors-presenters/nathalie-kelley-the-actress-finding-her-purpose-outside-of-hollywood,1460,/who/actors-presenters/nathalie-kelley-the-actress-finding-her-purpose-outside-of-hollywood,370,1830
the-best-italian-hair-products-and-secrets-you-need-to-know,/beauty-style/hair/the-best-italian-hair-products-and-secrets-you-need-to-know,1642,/beauty-style/hairs/the-best-italian-hair-products-and-secrets-you-need-to-know,92,1734
the-best-italian-hair-products-and-secrets-you-need-to-know,/beauty-style/hair/the-best-italian-hair-products-and-secrets-you-need-to-know,1642,/beauty-style/hairstyles/the-best-italian-hair-products-and-secrets-you-need-to-know,63,1705
the-exact-products-melanie-grant-uses-to-look-flawless,/interviews/founders/the-exact-products-melanie-grant-uses-to-look-flawless,1472,/who/entrepreneurs/the-exact-products-melanie-grant-uses-to-look-flawless,231,1703
these-are-the-beauty-brands-working-towards-better-packaging,/beauty-style/beauty-tips/these-are-the-beauty-brands-working-towards-better-packaging,966,/living/sustainability/these-are-the-beauty-brands-working-towards-better-packaging,582,1548
the-beauty-secrets-epres-vs-olaplex-whats-the-difference,/beauty-style/beauty-tips/the-beauty-secrets-epres-vs-olaplex-whats-the-difference,1324,/how-to/beauty-tips/the-beauty-secrets-epres-vs-olaplex-whats-the-difference,172,1496
princess-diana,/interviews/tastemakers/princess-diana,1267,/who/influencers/princess-diana,195,1462
sibella-court-interior-stylist-and-author,/interviews/creatives/sibella-court-interior-stylist-and-author,1246,/who/sibella-court-interior-stylist-and-author,169,1415
the-makeup-tools-for-people-with-disabilities,/beauty-style/beauty-tips/the-makeup-tools-for-people-with-disabilities,1033,/how-to/beauty-tips/the-makeup-tools-for-people-with-disabilities,328,1361
5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,/beauty-style/hair/5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,1121,/how-to/hairstyles/5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,218,1339
sibella-court-interior-stylist-and-author,/interviews/creatives/sibella-court-interior-stylist-and-author,1246,/who/creatives/sibella-court-interior-stylist-and-author,53,1299
olaplex-review-is-it-worth-the-hype,/beauty-style/hair/olaplex-review-is-it-worth-the-hype,929,/reviews/products/olaplex-review-is-it-worth-the-hype,346,1275
abbey-gelmi-the-sports-reporter-making-her-thirties-all-about-finding-balance,/interviews/actors-presenters/abbey-gelmi-the-sports-reporter-making-her-thirties-all-about-finding-balance,1077,/who/actors-presenters/abbey-gelmi-the-sports-reporter-making-her-thirties-all-about-finding-balance,142,1219
the-extreme-beauty-standards-flight-attendants-adhere-to,/beauty-style/skin-care/the-extreme-beauty-standards-flight-attendants-adhere-to,943,/how-to/beauty-tips/the-extreme-beauty-standards-flight-attendants-adhere-to,251,1194
5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,/beauty-style/hair/5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,1121,/beauty-style/hairstyles/5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,69,1190
5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,/beauty-style/hair/5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,1121,/beauty-style/hairs/5-tips-from-hair-guru-that-will-help-you-embrace-your-inner-power,60,1181
helena-vestergaard-on-modelling-and-mental-health,/interviews/models/helena-vestergaard-on-modelling-and-mental-health,934,/who/models/helena-vestergaard-on-modelling-and-mental-health,222,1156
three-of-the-best-wisteria-scents,/beauty-style/beauty-tips/three-of-the-best-wisteria-scents,966,/how-to/beauty-tips/three-of-the-best-wisteria-scents,176,1142
the-extreme-beauty-standards-flight-attendants-adhere-to,/beauty-style/skin-care/the-extreme-beauty-standards-flight-attendants-adhere-to,943,/beauty-style/beauty-tips/the-extreme-beauty-standards-flight-attendants-adhere-to,199,1142
the-makeup-tools-for-people-with-disabilities,/beauty-style/beauty-tips/the-makeup-tools-for-people-with-disabilities,1033,/news/the-makeup-tools-for-people-with-disabilities,105,1138
these-are-the-beauty-brands-working-towards-better-packaging,/beauty-style/beauty-tips/these-are-the-beauty-brands-working-towards-better-packaging,966,/how-to/go-green/these-are-the-beauty-brands-working-towards-better-packaging,94,1060
sigs-slim-aarons-poolside-birthday-all-the-details,/sigourneys-edit/sigs-slim-aarons-poolside-birthday-all-the-details,777,/beauty-style/sigs-slim-aarons-poolside-birthday-all-the-details,250,1027
travel,/destination/travel,850,/reviews/travel,172,1022
how-to-remove-fake-tan-from-white-clothes,/how-to/beauty-tips/how-to-remove-fake-tan-from-white-clothes,528,/beauty-style/beauty-tips/how-to-remove-fake-tan-from-white-clothes,450,978
who-sarah-jagger-make-up-artist,/interviews/creatives/who-sarah-jagger-make-up-artist,781,/who/creatives/who-sarah-jagger-make-up-artist,192,973
cheek-blush-tattoo,/beauty-style/beauty-tips/cheek-blush-tattoo,748,/how-to/beauty-tips/cheek-blush-tattoo,210,958
sigs-slim-aarons-poolside-birthday-all-the-details,/sigourneys-edit/sigs-slim-aarons-poolside-birthday-all-the-details,777,/how-to/sigs-slim-aarons-poolside-birthday-all-the-details,174,951
farrah-fawcett-actress,/interviews/actors-presenters/farrah-fawcett-actress,796,/who/actors-presenters/farrah-fawcett-actress,130,926
dina-broadhurst-artist,/interviews/creatives/dina-broadhurst-artist,839,/who/creatives/dina-broadhurst-artist,75,914
the-best-italian-pharmacy-buys-you-can-buy-online,/beauty-style/beauty-tips/the-best-italian-pharmacy-buys-you-can-buy-online,561,/how-to/beauty-tips/the-best-italian-pharmacy-buys-you-can-buy-online,313,874
olivia-chantecaille-born-into-beauty-now-saving-the-world,/interviews/founders/olivia-chantecaille-born-into-beauty-now-saving-the-world,725,/who/entrepreneurs/olivia-chantecaille-born-into-beauty-now-saving-the-world,134,859
why-this-model-mum-of-two-doesnt-own-a-hair-dryer,/interviews/models/why-this-model-mum-of-two-doesnt-own-a-hair-dryer,698,/who/models/why-this-model-mum-of-two-doesnt-own-a-hair-dryer,160,858
rozalia-russian-influencer,/interviews/tastemakers/rozalia-russian-influencer,747,/who/influencers/rozalia-russian-influencer,89,836
la-mer-the-concentrate-reviews,/beauty-style/skin-care/la-mer-the-concentrate-reviews,694,/how-to/skin-care/la-mer-the-concentrate-reviews,113,807
alyce-tran-the-entrepreneur-who-will-persuade-you-to-bring-colour-into-your-home,/interviews/founders/alyce-tran-the-entrepreneur-who-will-persuade-you-to-bring-colour-into-your-home,652,/who/entrepreneurs/alyce-tran-the-entrepreneur-who-will-persuade-you-to-bring-colour-into-your-home,148,800
cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,/beauty-style/hair/cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,512,/how-to/hairstyles/cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,281,793
rose-marie-swifts-10-beauty-rules-for-older-skin,/beauty-style/beauty-tips/rose-marie-swifts-10-beauty-rules-for-older-skin,620,/how-to/beauty-tips/rose-marie-swifts-10-beauty-rules-for-older-skin,161,781
how-to-choose-the-right-products-for-your-skin,/beauty-style/beauty-tips/how-to-choose-the-right-products-for-your-skin,570,/how-to/beauty-tips/how-to-choose-the-right-products-for-your-skin,203,773
skin-care,/beauty-style/skin-care,704,/how-to/skin-care,61,765
im-a-hair-bleach-addict-heres-how-i-prevent-the-damage,/beauty-style/hair/im-a-hair-bleach-addict-heres-how-i-prevent-the-damage,481,/how-to/hairstyles/im-a-hair-bleach-addict-heres-how-i-prevent-the-damage,277,758
grace-kelly-princess-and-actress,/interviews/actors-presenters/grace-kelly-princess-and-actress,617,/who/actors-presenters/grace-kelly-princess-and-actress,137,754
the-glamorous-cosmetic-injector-youll-want-to-fly-to-perth-to-see,/interviews/founders/the-glamorous-cosmetic-injector-youll-want-to-fly-to-perth-to-see,522,/who/entrepreneurs/the-glamorous-cosmetic-injector-youll-want-to-fly-to-perth-to-see,204,726
how-to-get-fuller-brows-using-aloe-vera-seriously,/beauty-style/beauty-tips/how-to-get-fuller-brows-using-aloe-vera-seriously,617,/how-to/beauty-tips/how-to-get-fuller-brows-using-aloe-vera-seriously,108,725
rose-marie-swifts-10-beauty-rules-for-older-skin,/beauty-style/beauty-tips/rose-marie-swifts-10-beauty-rules-for-older-skin,620,/beauty-style/makeup/rose-marie-swifts-10-beauty-rules-for-older-skin,81,701
elsa-pataky-on-falling-utterly-in-love-with-byron-bay,/interviews/actors-presenters/elsa-pataky-on-falling-utterly-in-love-with-byron-bay,566,/who/actors-presenters/elsa-pataky-on-falling-utterly-in-love-with-byron-bay,118,684
anastasia-soare-on-turning-perfect-brows-into-a-global-empire,/interviews/founders/anastasia-soare-on-turning-perfect-brows-into-a-global-empire,644,/who/entrepreneurs/anastasia-soare-on-turning-perfect-brows-into-a-global-empire,33,677
bachelorette-brooke-blurton-on-choosing-real-life-over-picture-perfect,/interviews/tastemakers/bachelorette-brooke-blurton-on-choosing-real-life-over-picture-perfect,632,/who/influencers/bachelorette-brooke-blurton-on-choosing-real-life-over-picture-perfect,37,669
beauty-tips,/beauty-style/beauty-tips,507,/how-to/beauty-tips,59,566
how-i-stay-fit-with-rebecca-judd,/wellness/fitness/how-i-stay-fit-with-rebecca-judd,485,/how-to/fitness/how-i-stay-fit-with-rebecca-judd,81,566
cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,/beauty-style/hair/cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,512,/beauty-style/hairs/cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,44,556
makeup,/beauty-style/makeup,521,/makeup,35,556
cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,/beauty-style/hair/cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,512,/beauty-style/hairstyles/cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,32,544
byredo-hand-cream-review-is-it-worth-it,/reviews/products/byredo-hand-cream-review-is-it-worth-it,280,/beauty-style/skin-care/byredo-hand-cream-review-is-it-worth-it,263,543
5-french-hair-secrets-for-effortlessly-cool-hair,/beauty-style/beauty-tips/5-french-hair-secrets-for-effortlessly-cool-hair,395,/how-to/beauty-tips/5-french-hair-secrets-for-effortlessly-cool-hair,144,539
who-jocelyn-petroni-beauty-therapist,/interviews/creatives/who-jocelyn-petroni-beauty-therapist,328,/who/creatives/who-jocelyn-petroni-beauty-therapist,198,526
julia-stone-the-musician-all-about-making-meaning,/interviews/creatives/julia-stone-the-musician-all-about-making-meaning,457,/who/creatives/julia-stone-the-musician-all-about-making-meaning,64,521
why-i-swapped-my-whoop-for-an-ultrahuman-ring-and-what-its-taught-me-about-stress-sleep-and-bio-age-copy,/news/why-i-swapped-my-whoop-for-an-ultrahuman-ring-and-what-its-taught-me-about-stress-sleep-and-bio-age-copy,287,/beauty-style/why-i-swapped-my-whoop-for-an-ultrahuman-ring-and-what-its-taught-me-about-stress-sleep-and-bio-age-copy,230,517
inside-the-la-home-of-maison-louis-marie-founder-marie-du-petit-thouars,/interviews/creatives/inside-the-la-home-of-maison-louis-marie-founder-marie-du-petit-thouars,450,/who/creatives/inside-the-la-home-of-maison-louis-marie-founder-marie-du-petit-thouars,66,516
fiona-myer-entrepreneur,/interviews/founders/fiona-myer-entrepreneur,455,/who/entrepreneurs/fiona-myer-entrepreneur,58,513
rae-morris-interview,/interviews/creatives/rae-morris-interview,456,/interviews/tastemakers/rae-morris-interview,56,512
nightly-beauty-routine,/beauty-style/nightly-beauty-routine,448,/beauty-style/skin-care/nightly-beauty-routine,45,493
supermodel-fitness-secrets-the-best-personal-trainers-for-models,/wellness/fitness/supermodel-fitness-secrets-the-best-personal-trainers-for-models,436,/how-to/fitness/supermodel-fitness-secrets-the-best-personal-trainers-for-models,55,491
korean-plastic-surgery,/beauty-style/cosmetic/korean-plastic-surgery,399,/how-to/cosmetic/korean-plastic-surgery,91,490
creatives,/interviews/creatives,453,/who/creatives,35,488
the-society-jeweller-with-a-stylish-loungewear-wardrobe,/interviews/creatives/the-society-jeweller-with-a-stylish-loungewear-wardrobe,415,/who/creatives/the-society-jeweller-with-a-stylish-loungewear-wardrobe,65,480
who-bridget-yorston-designer,/interviews/creatives/who-bridget-yorston-designer,449,/who/creatives/who-bridget-yorston-designer,31,480
models,/interviews/models,384,/who/models,87,471
aurora-spa-st-kilda,/destination/beauty-wellness/clinics/aurora-spa-st-kilda,359,/the-go-tos/beauty-maintenance/aurora-spa-st-kilda,112,471
fragrance,/beauty-style/fragrance,366,/beauty-style/beauty-tips/fragrance,98,464
rebecca-harding-model,/interviews/models/rebecca-harding-model,405,/who/models/rebecca-harding-model,54,459
sun-ranch-byron-bay-retreat,/destination/travel/sun-ranch-byron-bay-retreat,385,/sigourneys-edit/sun-ranch-byron-bay-retreat,73,458
interiors,/living/interiors,364,/how-to/interiors,85,449
